UNIDAD SNASPE,TOTAL,PROCEDENCIA,CHILENOS,EXTRANJEROS
TOTAL GENERAL,"2,061,670","1,547,482","514,188"
,,,
XV ARICA Y PARINACOTA,"13,002","9,685","3,317"
M.N. SALAR DE SURIRE,707,186,521
P.N. LAUCA,"12,087","9,449","2,638"
R.N. LAS VICUÑAS,208,50,158
,,,
I TARAPACÁ,"2,271","1,648",623
P.N. VOLCÁN ISLUGA,187,113,74
R.N. PAMPA DEL TAMARUGAL,"2,084","1,535",549
,,,
II ANTOFAGASTA,"338,326","194,106","144,220"
M.N. LA PORTADA,"119,585","115,766","3,819"
P.N. LLULLAILLACO,-,-,-
R.N. LA CHIMBA,-,-,-
R.N. LOS FLAMENCOS,"218,741","78,340","140,401"
,,,
III ATACAMA,"17,725","16,307","1,418"
P.N. LLANOS DE CHALLE,"3,761","3,666",95
P.N. NEVADO DE TRES CRUCES,506,280,226
P.N. PAN DE AZÚCAR,"13,458","12,361","1,097"
,,,
IV COQUIMBO,"70,493","63,900","6,593"
M.N. PICHASCA,"4,943","4,664",279
P.N. BOSQUE FRAY JORGE,"17,372","16,145","1,227"
R.N. LAS CHINCHILLAS,"3,621","3,310",311
R.N. PINGUINOS DE HUMBOLDT,"44,557","39,781","4,776"
,,,
V VALPARAÍSO,"158,605","128,596","30,009"
M.N. ISLA CACHAGUA,-,-,-
P.N. ARCHIPIELAGO DE JUAN FERNÁNDEZ,"1,416","1,259",157
P.N. LA CAMPANA,"52,389","49,703","2,686"
P.N. RAPA NUI,"52,202","26,844","25,358"
R.N. EL YALI,"1,845","1,805",40
R.N. LAGO PEÑUELAS,"33,212","31,828","1,384"
R.N. RÍO BLANCO,-,-,-
S.N. LAGUNA EL PERAL,"17,541","17,157",384
,,,
VI O'HIGGINS,"13,403","13,054",349
P.N. LAS PALMAS DE COCALÁN,-,-,-
R.N. RIO DE LOS CIPRESES,"12,889","12,540",349
R.N. ROBLERÍA DEL COBRE DE LONCHA,514,514,0
,,,
VII MAULE,"67,325","64,930","2,395"
R.N. ALTOS DE LIRCAY,"10,354","9,008","1,346"
R.N. FEDERICO ALBERT,"5,779","5,762",17
R.N. LAGUNA TORCA,"10,947","10,847",100
R.N. LOS BELLOTOS DEL MELADO,336,336,0
R.N. LOS QUEULES,310,304,6
R.N. LOS RUILES,"2,945","2,923",22
R.N. RADAL SIETE TAZAS,"36,654","35,750",904
,,,
VIII BIOBÍO,"61,864","61,076",788
P.N. LAGUNA DEL LAJA,"48,837","48,229",608
R.N. ISLA MOCHA,716,622,94
R.N. LOS HUEMULES DE NIBLINTO,427,425,2
R.N. NONGUEN,"9,490","9,456",34
R.N. ÑUBLE,"1,722","1,686",36
R.N. RALCO,672,658,14
,,,
IX LA ARAUCANÍA,"371,883","322,661","49,222"
M.N. CERRO ÑIELOL,"85,053","83,277","1,776"
M.N. CONTULMO,"2,731","2,656",75
P.N. CONGUILLIO,"59,823","55,318","4,505"
P.N. HUERQUEHUE,"32,103","21,606","10,497"
P.N. NAHUELBUTA,"11,832","11,613",219
P.N. TOLHUACA,"4,594","4,349",245
P.N. VILLARRICA,"115,761","86,183","29,578"
R.N. ALTO BIOBÍO,50,50,0
R.N. CHINA MUERTA,0,0,0
R.N. MALALCAHUELLO,"55,641","54,124","1,517"
R.N. MALLECO,341,340,1
R.N. LAS NALCAS,0,0,0
R.N. VILLARRICA,"3,954","3,145",809
,,,
XIV LOS RÍOS,"1,221","1,183",38
M.N. ALERCE COSTERO,693,674,19
R.N. VALDIVIA,-,-,-
R.N. MOCHO-CHOSHUENCO,528,509,19
,,,
X LOS LAGOS,"514,248","408,930","105,318"
M.N. ISLOTES DE PUÑIHUIL,"1,907","1,456",451
M.N. LAHUEN ÑADI,"4,273","3,054","1,219"
P.N. ALERCE ANDINO,"12,189","10,369","1,820"
P.N. CHILOÉ,"27,049","21,580","5,469"
P.N. CORCOVADO,-,-,-
P.N. HORNOPIRÉN,-,-,-
P.N. PUYEHUE,"133,037","116,590","16,447"
P.N. VICENTE PÉREZ ROSALES,"332,334","252,983","79,351"
R.N. FUTALEUFÚ,471,394,77
R.N. LAGO PALENA,-,-,-
R.N. LLANQUIHUE,"2,988","2,504",484
,,,
XI AISÉN,"32,544","21,762","10,782"
A.P. CERRO HUEMULES,143,126,17
M.N. CINCO HERMANAS,-,-,-
M.N. DOS LAGUNAS,"1,079","1,072",7
