,,,UNIDAD SNASPE,TOTAL,PROCEDENCIA,CHILENOS,EXTRANJEROS,
,,,TOTAL GENERAL,"2,689,190","2,044,097","645,093",76.0,24.0
,,,XV ARICA Y PARINACOTA,"15,734","10,930","4,804",,
,,,M.N. QUEBRADA DE CARDONES,-,-,-,,
,,,M.N. SALAR DE SURIRE,"1,202",311,891,,
,,,P.N. LAUCA,"14,016","10,525","3,491",,
,,,R.N. LAS VICUÑAS,516,94,422,,
,,,I TARAPACA,"10,638","9,275","1,363",,
,,,P.N. SALAR DE HUASCO,-,-,-,,
,,,P.N. VOLCÁN ISLUGA,430,375,55,,
,,,R.N. PAMPA DEL TAMARUGAL,"10,208","8,900","1,308",,
,,,II ANTOFAGASTA,"465,052","272,356","192,696",,
,,,M.N. LA PORTADA,"154,354","151,388","2,966",,
,,,P.N. LLULLAILLACO,-,-,-,,
,,,P.N. MORRO MORENO,-,-,-,,
,,,R.N. LA CHIMBA,-,-,-,,
,,,R.N. LOS FLAMENCOS,"310,698","120,968","189,730",,
,,,III ATACAMA,"21,349","19,786","1,563",,
,,,P.N. LLANOS DE CHALLE,"4,792","4,640",152,,
,,,P.N. NEVADO DE TRES CRUCES,516,284,232,,
,,,P.N. PAN DE AZÚCAR,"16,041","14,862","1,179",,
,,,IV COQUIMBO,"79,179","71,260","7,919",,
,,,M.N. PICHASCA,"5,203","5,002",201,,
,,,P.N. BOSQUE FRAY JORGE,"18,138","17,206",932,,
,,,R.N. LAS CHINCHILLAS,"2,544","2,261",283,,
,,,R.N. PINGÜINO DE HUMBOLDT,"53,294","46,791","6,503",,
,,,V VALPARAÍSO,"139,646","130,533","9,113",,
,,,M.N. ISLA CACHAGUA,-,-,-,,
,,,P.N. ARCHIPIELAGO DE JUAN FERNÁNDEZ,"2,300","2,065",235,,
,,,P.N. LA CAMPANA,"59,041","56,727","2,314",,
,,,P.N. RAPA NUI,"11,038","5,520","5,518",,
,,,R.N. EL YALI,"2,415","2,394",21,,
,,,R.N. LAGO PEÑUELAS,"42,298","41,357",941,,
,,,R.N. RÍO BLANCO,-,-,-,,
,,,S.N. LAGUNA EL PERAL,"22,554","22,470",84,,
,,,VI O'HIGGINS,"27,946","27,484",462,,
,,,P.N. LAS PALMAS DE COCALÁN,-,-,-,,
,,,R.N. RIO DE LOS CIPRESES,"27,633","27,171",462,,
,,,R.N. ROBLERÍA DEL COBRE DE LONCHA,313,313,0,,
,,,VII MAULE,"97,042","94,460","2,582",,
,,,P.N. RADAL SIETE TAZAS,"54,039","53,164",875,,
,,,R.N. ALTOS DE LIRCAY,"16,727","15,334","1,393",,
,,,R.N. FEDERICO ALBERT,"9,333","9,180",153,,
,,,R.N. LAGUNA TORCA,"10,497","10,337",160,,
