,UNIDAD SNASPE,TOTAL,PROCEDENCIA,CHILENOS,EXTRANJEROS,
,TOTAL GENERAL,"2,510,648","1,908,867","601,781",,
,XV ARICA Y PARINACOTA,"18,207","12,744","5,463",,
,M.N. QUEBRADA DE CARDONES,-,-,-,,
,M.N. SALAR DE SURIRE,858,239,619,,
,P.N. LAUCA,"16,829","12,382","4,447",,
,R.N. LAS VICUÑAS,520,123,397,,
,I TARAPACA,"4,783","3,860",923,,
,P.N. SALAR DE HUASCO,-,-,-,,
,P.N. VOLCÁN ISLUGA,224,139,85,,
,R.N. PAMPA DEL TAMARUGAL,"4,559","3,721",838,,
,II ANTOFAGASTA,"391,325","233,015","158,310",,
,M.N. LA PORTADA,"128,183","125,032","3,151",,
,P.N. LLULLAILLACO,-,-,-,,
,P.N. MORRO MORENO,-,-,-,,
,R.N. LA CHIMBA,-,-,-,,
,R.N. LOS FLAMENCOS,"263,142","107,983","155,159",,
,III ATACAMA,"22,181","20,604","1,577",,
,P.N. LLANOS DE CHALLE,"3,864","3,795",69,,
,P.N. NEVADO DE TRES CRUCES,686,432,254,,
,P.N. PAN DE AZÚCAR,"17,631","16,377","1,254",,
,IV COQUIMBO,"79,303","71,749","7,554",,
,M.N. PICHASCA,"5,053","4,722",331,,
,P.N. BOSQUE FRAY JORGE,"20,312","19,124","1,188",,
,R.N. LAS CHINCHILLAS,"2,888","2,618",270,,
,R.N. PINGÜINO DE HUMBOLDT,"51,050","45,285","5,765",,
,V VALPARAÍSO,"188,405","149,383","39,022",,
,M.N. ISLA CACHAGUA,-,-,-,,
,P.N. ARCHIPIELAGO DE JUAN FERNÁNDEZ,"2,759","2,504",255,,
,P.N. LA CAMPANA,"54,487","51,867","2,620",,
,P.N. RAPA NUI,"65,064","29,734","35,330",,
,R.N. EL YALI,"1,534","1,508",26,,
,R.N. LAGO PEÑUELAS,"37,021","36,433",588,,
,R.N. RÍO BLANCO,-,-,-,,
,S.N. LAGUNA EL PERAL,"27,540","27,337",203,,
,VI O'HIGGINS,"23,187","22,792",395,,
,P.N. LAS PALMAS DE COCALÁN,-,-,-,,
,R.N. RIO DE LOS CIPRESES,"22,557","22,162",395,,
,R.N. ROBLERÍA DEL COBRE DE LONCHA,630,630,0,,
,VII MAULE,"81,006","78,946","2,060",,
,P.N. RADAL SIETE TAZAS,"45,104","44,249",855,,
,R.N. ALTOS DE LIRCAY,"10,558","9,588",970,,
,R.N. FEDERICO ALBERT,"8,572","8,547",25,,
,R.N. LAGUNA TORCA,"11,604","11,418",186,,
,R.N. LOS BELLOTOS DEL MELADO,"1,061","1,053",8,,
,R.N. LOS QUEULES,241,239,2,,
,R.N. LOS RUILES,"3,866","3,852",14,,
,R.N. RADAL SIETE TAZAS,-,-,-,,
,VIII BÍO BÍO,"89,078","88,129",949,,
,P.N. LAGUNA DEL LAJA,"70,887","70,100",787,,
,R.N. ALTOS DE PEMEHUE,346,340,6,,
,R.N. ISLA MOCHA,"1,083","1,031",52,,
,R.N. LOS HUEMULES DE NIBLINTO,656,651,5,,
,R.N. NONGUEN,"11,864","11,815",49,,
,R.N. ÑUBLE,"3,415","3,377",38,,
,R.N. RALCO,827,815,12,,
,IX LA ARAUCANÍA,"437,857","386,474","51,383",,
,M.N. CERRO ÑIELOL,"73,472","71,880","1,592",,
,M.N. CONTULMO,"6,244","6,094",150,,
